	City	Latitude	Temperature (F)	% Humidity	% Cloudiness	Wind Speed (MPH)
0	Pisco	-13.71	71.6	30	0	20.8
1	Mombaca	-5.74	82.67	58	76	3.62
2	Mataura	-46.19	57.02	67	12	4.74
3	Atuona	-9.8	81.32	100	8	17.94
4	Maragogi	-9.01	78.12	85	20	8.43
5	Druzhba	49.36	7.3	75	0	8.55
6	Tuktoyaktuk	69.44	-14.8	75	90	10.29
7	Albany	42.65	13.33	46	20	19.46
8	Ushuaia	-54.81	51.8	66	75	18.34
9	Hobart	-42.88	73.4	38	20	6.93
10	Zemio	5.02	70.03	82	0	1.61
11	Butaritari	3.07	82.85	100	76	11.23
12	Rikitea	-23.12	79.12	100	32	16.82
13	Codrington	-28.95	70.45	88	44	8.05
14	Ust-Maya	60.42	-29.29	47	64	2.73
15	Jinxiang	35.07	19.31	69	0	2.95
16	Nikolskoye	59.7	33.8	86	75	8.95
17	Chuy	-33.69	69.89	82	92	10.89
18	Vaini	15.34	58.64	87	0	2.62
19	Kenai	60.55	-6.02	74	1	6.93
20	Akhtubinsk	48.29	35.33	96	92	18.5
21	Caravelas	-17.73	81.28	100	12	12.12
22	Muros	42.77	40.14	80	0	4.7
23	Rustenburg	-25.67	66.83	85	24	3.96
24	Husavik	50.56	14.05	96	44	9.89
25	Cayenne	4.94	77.0	88	0	2.24
26	Oussouye	12.49	75.22	73	0	2.24
27	Puerto Ayora	-0.74	84.2	62	20	14.99
28	Wilkie	52.41	8.6	78	1	11.41
29	Arraial Do Cabo	-22.97	80.6	69	20	19.46
30	Orlik	52.51	-24.61	29	0	1.95
31	Erenhot	43.65	9.05	76	32	11.79
32	Sitka	37.17	42.12	100	92	13.69
33	Tuatapere	-46.13	54.14	98	0	2.73
34	Dikson	73.51	-21.91	97	0	14.36
35	The Valley	18.22	77.95	69	20	9.17
36	Puerto Madero	-34.61	74.01	40	0	10.29
37	Sibolga	1.74	65.84	100	24	2.06
38	Iberia	-11.41	78.44	85	100	2.95
39	Port Alfred	-33.59	73.18	84	0	4.3
40	Hilo	19.71	73.94	78	90	11.41
41	Mar Del Plata	-46.43	74.03	37	88	23.98
42	Hermanus	-34.42	56.03	97	56	4.74
43	Mahanoro	-19.9	72.23	100	76	2.39
44	Awjilah	29.14	52.75	31	0	12.68
45	Karratha	-20.74	74.53	97	68	3.18
46	Antalya	36.9	50.0	87	75	10.29
47	New Norfolk	-42.78	73.4	38	20	6.93
48	Gewane	10.16	56.3	73	0	3.74
49	Tsagan Aman	47.57	37.0	99	92	17.72
50	Lisala	2.15	81.41	61	48	3.4
51	Sorland	67.67	33.8	69	40	24.16
52	Clyde River	70.47	-27.4	74	20	5.82
53	Saldanha	41.42	25.43	86	0	3.62
54	Bluff	-23.58	70.12	81	0	7.76
55	Tilichiki	60.47	12.7	72	0	9.1
56	Monforte De Lemos	42.52	28.0	93	0	1.95
57	Ostrovnoy	68.05	22.01	87	76	12.57
58	Avarua	-21.21	84.2	70	75	14.99
59	Busselton	-33.64	59.81	100	0	8.21
60	Souillac	45.6	41.0	93	90	3.18
61	Shingu	33.72	49.64	100	76	1.95
62	Manica	-18.94	75.2	94	20	6.93
63	Hobyo	5.35	75.52	85	0	18.39
64	Zhigansk	66.77	-23.71	71	48	8.77
65	Padang	-0.92	79.25	100	48	4.74
66	Cidreira	-30.17	75.52	87	92	9.78
67	Yellowknife	62.45	3.2	77	90	9.17
68	Castro	-42.48	53.6	100	90	18.34
69	Georgetown	6.8	82.4	69	75	9.17
70	Jamestown	-33.21	70.16	59	0	4.18
71	Waingapu	-9.65	72.1	99	32	2.73
72	Qaanaaq	77.48	-15.97	100	48	13.02
73	Port Moresby	-9.47	78.8	88	20	4.7
74	Tucumcari	35.17	44.06	72	90	9.17
75	Bolobo	-2.17	71.96	100	12	4.18
76	Quatre Cocos	-20.21	78.8	88	40	3.36
77	Kurskaya	44.04	16.97	74	24	3.29
78	Saint Anthony	43.97	29.55	75	90	3.96
79	Victoria	5.28	78.8	94	75	1.83
80	Madimba	4.42	78.8	94	20	13.24
81	Saint George	39.45	40.17	80	75	2.84
82	Punta Arenas	-53.16	51.8	88	40	31.09
83	Thompson	55.74	-5.8	70	75	6.93
84	San Cristobal	-0.39	64.27	55	40	17.22
85	Isla Vista	34.41	59.59	62	90	14.99
86	Sola	62.78	32.0	84	90	14.99
87	Neya	58.29	14.54	82	76	16.26
88	Narsaq	60.91	41.0	44	75	19.46
89	Cape Town	-33.93	60.8	87	40	4.7
90	Luena	-11.78	70.16	79	92	5.75
91	Bambous Virieux	-20.34	78.8	88	40	3.36
92	Zhengjiatun	43.51	3.47	55	0	3.96
93	Namibe	-15.19	74.21	100	0	3.4
94	Banda Aceh	5.56	73.4	100	44	2.28
95	East London	-33.02	76.78	89	0	11.01
96	Inuvik	68.36	-22.77	67	90	3.36
97	Ponta Do Sol	-20.63	83.12	45	80	4.41
98	Barrow	-38.31	74.84	48	0	13.47
99	Nome	30.04	64.44	59	75	12.75
100	Kapaa	22.08	79.16	66	75	8.05
101	Kloulklubed	7.04	77.0	94	75	8.05
102	Tasiilaq	65.61	19.4	79	76	3.36
103	Leshukonskoye	64.9	18.95	67	80	11.23
104	Poum	41.28	19.0	94	80	1.72
105	Novozavidovskiy	56.55	11.57	87	68	15.7
106	Carnarvon	-30.97	61.52	28	0	14.25
107	Horki	54.29	7.25	83	88	13.35
108	Mobaye	4.33	75.65	65	0	4.74
109	Beloha	-25.17	74.12	95	80	8.43
110	Saint-Philippe	45.36	6.26	65	1	12.01
111	Biltine	14.53	66.02	29	0	7.31
112	Manacapuru	-3.3	77.0	88	75	2.24
113	Sao Joao Da Barra	-21.64	82.4	69	0	20.8
114	Airai	-8.93	69.85	89	36	0.72
115	Neijiang	29.59	36.1	92	64	2.84
116	Xuanhua	40.61	-1.3	61	0	2.39
117	Cherskiy	68.75	-17.41	26	0	1.83
118	Kathu	-27.7	74.48	17	0	15.37
119	Noumea	-22.28	80.6	69	0	1.12
120	Zhangye	38.94	5.9	60	0	7.76
121	Pacific Grove	36.62	60.98	66	75	5.82
122	Khatanga	71.98	-34.1	62	64	6.64
123	Bethel	60.79	-23.24	72	1	18.34
124	Talaya	55.79	-0.4	77	75	13.42
125	Puri	-7.54	77.0	100	20	5.82
126	Saskylakh	71.97	-46.25	0	24	3.51
127	Esperance	10.24	82.4	65	20	11.41
128	Tari	12.41	74.39	34	0	8.55
129	San Carlos De Bariloche	-41.13	60.8	21	75	23.04
130	Benguela	-12.58	76.64	100	24	5.64
131	Grindavik	63.84	39.2	93	90	31.09
132	Port Lincoln	-34.72	64.76	95	0	17.83
133	Buin	-33.73	79.7	34	20	9.17
134	Itacoatiara	-3.14	79.75	86	92	7.43
135	Hithadhoo	-0.6	79.43	100	88	3.62
136	Bowen	-20.01	73.4	88	75	6.93
137	Roald	62.58	35.56	74	75	9.17
138	Guapimirim	-22.53	84.16	52	0	12.75
139	Moose Jaw	50.4	11.01	92	40	8.05
140	Tangermunde	52.54	38.17	94	36	14.59
141	Buraydah	26.33	50.0	66	0	9.17
142	Ojinaga	29.56	62.6	62	1	3.36
143	Imbituba	-28.24	80.6	69	40	11.41
144	Arlit	18.74	55.31	61	0	2.73
145	Galveston	40.58	29.98	68	1	5.82
146	Port Elizabeth	39.31	33.39	31	1	10.29
147	Brandon	43.59	33.26	79	1	4.41
148	Thinadhoo	0.53	80.47	100	76	7.43
149	Iqaluit	63.75	-18.4	68	75	20.8
150	Petropavlovsk-Kamchatskiy	53.05	32.0	85	40	17.9
151	Kavieng	-2.57	84.56	100	80	10.45
152	Minab	27.15	62.6	67	0	6.93
153	Hazorasp	41.32	30.2	86	90	4.7
154	Kyren	51.68	-10.12	74	8	1.72
155	Sao Filipe	14.9	72.5	96	0	12.12
156	Coquimbo	-29.95	68.0	60	0	11.41
157	Funadhoo	6.15	81.59	100	0	8.21
158	Antofagasta	-23.65	71.6	60	20	11.41
159	Mugur-Aksy	50.38	-15.79	71	36	2.17
160	Den Helder	52.96	45.23	93	75	10.29
161	Mount Isa	-20.73	84.2	58	0	12.75
162	Richards Bay	-28.77	87.26	57	0	11.68
163	Marawi	8.0	65.12	99	64	2.39
164	Lebu	8.96	36.05	52	0	3.06
165	Vao	59.1	32.36	87	36	12.8
166	Fortuna	38.18	39.2	51	0	4.7
167	Japura	-0.42	71.33	99	92	2.06
168	Dzhebariki-Khaya	62.22	-37.84	76	44	2.39
169	Ribeira Grande	38.52	59.0	77	40	17.22
170	Mahebourg	-20.41	78.8	88	40	3.36
171	San Joaquin	10.59	73.67	87	8	10.89
172	Waipawa	-39.94	61.61	92	100	8.77
173	Pangnirtung	66.15	-22.0	74	20	5.82
174	Muisne	0.61	84.2	74	20	8.05
175	Carauari	-4.88	88.7	60	8	7.76
176	Tutoia	-2.76	82.4	65	75	5.82
177	Acari	-6.44	83.97	44	20	10.45
178	Cabo San Lucas	22.89	74.08	100	0	4.18
179	Stade	53.6	42.21	81	92	10.29
180	Norman Wells	65.28	-29.2	66	75	4.7
181	Polunochnoye	60.87	-0.62	66	36	7.43
182	Kieta	-6.22	78.98	100	0	4.3
183	Nokaneng	-19.66	77.22	57	8	5.19
184	Severo-Kurilsk	50.68	29.52	100	36	20.74
185	Davila	18.47	71.6	94	20	3.36
186	Egvekinot	66.32	-44.59	0	0	2.17
187	Ternate	14.29	77.0	88	40	15.14
188	Berlevag	70.86	29.5	74	0	17.22
189	Kindersley	51.47	12.2	78	20	21.92
190	Plessisville	46.22	5.0	60	75	13.87
191	Divnogorsk	55.96	-13.0	83	0	2.17
192	Almaznyy	48.03	39.2	93	75	11.19
193	Huarmey	-10.07	75.47	66	68	5.64
194	Portovelo	-3.72	83.39	47	75	9.17
195	Columbia	38.95	31.82	96	90	6.93
196	Labelle	26.76	73.71	53	1	5.82
197	Athens	34.8	47.84	39	90	8.43
198	Avila	38.91	36.28	37	1	8.05
199	Upernavik	72.79	-9.62	100	20	2.28
200	Picos	-7.08	88.07	41	20	4.74
201	Yumen	40.29	-6.25	48	0	2.62
202	Mareeba	-16.99	77.0	88	90	9.17
203	Gamboma	-1.87	72.72	91	36	7.31
204	Bandarban	22.2	51.85	88	0	1.95
205	Bongaree	-27.08	78.8	57	20	8.05
206	Chok Chai	14.73	70.7	90	80	2.62
207	Lorengau	-2.02	84.88	94	88	12.68
208	Srednekolymsk	67.46	-32.35	57	20	1.83
209	Rehoboth	-23.31	56.75	55	0	6.53
210	Khonsa	26.99	48.52	85	0	3.18
211	Broken Hill	-31.97	86.0	28	0	10.29
212	Bandarbeyla	9.49	76.1	100	0	17.16
213	San Juan	-31.54	80.06	42	0	0.38
214	Poya	-21.35	77.0	100	0	7.43
215	Kodiak	39.95	34.52	100	90	6.93
216	La Paz	24.15	78.26	55	0	8.55
217	Esfarayen	37.08	26.6	79	0	4.7
218	Los Andes	-32.83	79.72	34	0	16.11
219	Mayo	63.59	-27.4	67	90	2.24
220	Bredasdorp	-34.53	60.8	77	20	9.17
221	Atambua	-9.11	78.4	100	24	4.74
222	Itaituba	-4.26	82.4	74	20	5.82
223	Loyga	61.08	15.08	84	92	22.86
224	Savinka	50.08	25.57	87	92	18.84
225	Eyl	7.98	72.86	99	44	17.94
226	Goundi	9.36	72.77	30	0	5.75
227	Katsuura	33.93	41.9	75	75	4.7
228	Darasun	51.66	1.4	77	76	2.24
229	Port Lavaca	28.61	65.75	77	90	11.41
230	Melilla	-0.8	84.2	62	40	11.41
231	Rizhao	35.43	28.31	88	0	8.66
232	Provideniya	64.42	-10.84	100	0	16.37
233	Kaitangata	-46.28	55.67	77	0	4.63
234	Rio Das Ostras	-22.53	80.6	69	20	19.46
235	Thoen	17.61	68.18	98	36	3.74
236	Erzin	36.95	45.64	65	0	10.29
237	Grand Gaube	-20.01	78.8	88	40	3.36
238	Oistins	13.07	80.6	69	40	16.11
239	Coihaique	-45.58	57.99	77	75	5.82
240	Skibbereen	51.55	46.4	93	75	8.05
241	Bubaque	11.28	82.0	90	36	3.74
242	Lundazi	-12.29	68.95	87	68	3.85
243	Faanui	-16.48	82.76	100	80	20.51
244	Emerald	-23.53	75.2	78	0	8.05
245	Ugep	5.81	76.6	42	0	4.18
246	Akureyri	65.68	42.8	75	75	12.75
247	Bassar	9.26	81.1	40	24	5.64
248	Lerum	57.77	27.68	74	0	3.36
249	Nanortalik	60.14	29.66	92	92	43.22
250	San Jose Del Palmar	4.97	80.6	61	20	5.82
251	Kariba	-16.53	70.88	98	64	3.18
252	Vila Velha	-3.71	82.4	74	0	5.82
253	Tulun	54.56	-10.52	69	0	5.41
254	Penalva	-3.29	75.02	100	92	5.08
255	Yerbogachen	61.28	-8.45	47	32	8.66
256	Kahului	20.89	77.36	60	40	5.82
257	Saint-Francois	46.42	32.0	97	90	4.97
258	Waconia	44.85	32.61	58	1	3.36
259	Mahibadhoo	3.78	79.61	100	36	7.43
260	Roma	41.89	36.82	69	20	5.82
261	Biak	-0.91	77.54	100	32	3.74
262	Wasilla	61.58	-1.71	84	90	1.39
263	Finschhafen	-6.6	74.62	93	76	1.5
264	Blacksburg	37.23	37.44	41	1	3.06
265	Maloy	1.0	78.44	80	64	2.95
266	Birao	10.3	69.44	39	0	8.99
267	Barcelona	41.38	36.48	55	0	10.29
268	Te Anau	-45.41	52.52	58	0	3.4
269	Verkhoyansk	67.55	-44.14	0	20	2.51
270	Rzhev	56.26	11.35	87	92	17.05
271	Bathsheba	13.22	80.6	69	40	16.11
272	Kuching	1.56	75.2	94	75	3.74
273	Mbandaka	0.05	75.65	93	44	2.39
274	Luderitz	-26.65	59.27	93	0	6.53
275	Port Hedland	-20.31	80.6	88	56	5.82
276	Maniitsoq	65.42	4.15	100	0	7.65
277	Naze	5.43	80.6	88	0	2.24
278	Chaman	30.92	21.11	73	0	2.62
279	Sept-Iles	50.2	23.0	85	75	4.7
280	Zahesi	41.83	35.6	59	0	13.87
281	Camacha	33.08	63.66	59	75	12.75
282	Maningrida	-12.05	83.62	87	0	5.75
283	Garoua	9.31	68.68	43	0	5.64
284	Kabare	-1.65	57.97	94	20	3.96
285	Itarema	-2.92	77.9	91	100	5.64
286	Chokurdakh	70.62	-34.28	63	56	3.06
287	Casian	44.5	25.84	92	40	11.41
288	Pavlodar	52.28	-13.0	83	0	4.47
289	Vallenar	-28.58	67.33	72	20	2.95
290	Geraldton	49.72	10.4	43	20	3.36
291	Nantucket	41.28	28.6	35	1	13.87
292	Shache	38.42	15.12	81	80	5.97
293	Morlaix	48.58	46.85	81	90	6.93
294	Haines Junction	60.75	-33.79	53	12	2.06
295	Sechura	-5.56	81.23	66	8	13.8
296	Santa Rosalia	38.07	41.0	86	40	6.93
297	Artyom	43.36	-4.0	76	0	2.24
298	Osypenko	48.04	26.6	100	90	12.12
299	Klaksvik	62.23	46.4	93	92	10.29
300	Salalah	17.01	77.0	38	0	8.05
301	Tezu	27.93	48.38	51	0	2.06
302	San Jeronimo	-13.65	51.35	73	88	2.51
303	Bambanglipuro	-7.95	70.43	99	32	2.62
304	Rumia	54.57	33.8	94	0	10.29
305	Berdigestyakh	62.1	-24.52	36	8	2.06
306	Yashalta	46.34	37.9	84	92	10.56
307	Mzimba	-11.9	66.29	97	68	3.06
308	Sisimiut	66.94	-18.98	100	0	3.4
309	Natal	-5.81	82.4	69	0	14.99
310	Sangar	63.92	-24.7	37	48	4.85
311	West Melbourne	28.07	70.27	52	75	13.87
312	Labuhan	-2.54	72.41	96	44	0.72
313	Tiksi	71.64	-32.03	55	44	3.18
314	Faya	18.39	57.2	87	5	2.51
315	Bunia	1.56	61.61	79	8	2.62
316	Constitucion	23.99	69.62	30	0	16.82
317	Tono	39.35	22.28	72	8	3.85
318	Vega De Alatorre	20.03	74.39	77	0	7.2
319	Yinchuan	38.48	4.37	62	0	2.17
320	Kutum	14.2	53.24	62	0	3.29
321	Kabala	9.59	75.07	63	0	2.73
322	Bud	62.91	36.79	100	75	21.92
323	Dudinka	69.41	-32.53	57	44	6.64
324	Kavaratti	10.57	81.28	100	0	7.99
325	Menongue	-14.66	74.93	33	56	3.4
326	Beringovskiy	63.05	8.87	94	48	18.84
327	Nabire	-3.36	66.07	93	20	1.95
328	San Pedro	-33.68	79.3	53	0	8.99
329	Mandalgovi	45.76	4.55	67	0	15.48
330	Kopeysk	55.11	1.4	84	20	2.24
331	Abrau-Dyurso	44.7	46.4	100	92	17.9
332	Havre-Saint-Pierre	50.23	28.4	92	90	14.99
333	Coahuayana	18.62	79.88	43	12	2.95
334	San Quintin	17.54	60.53	85	8	2.95
335	Arman	59.7	4.55	76	88	4.41
336	Road Town	18.42	80.29	65	20	4.7
337	Peniche	39.36	44.6	70	0	3.36
338	Kiunga	-6.12	71.92	99	92	3.18
339	Gawler	-34.6	75.2	29	0	25.28
340	North Bend	43.41	55.04	68	1	3.36
341	Torbay	47.66	36.77	93	90	20.8
342	Diffa	13.32	68.18	32	0	10.33
343	Kupang	-10.16	78.8	94	75	3.36
344	Arawa	7.05	80.2	61	8	2.28
345	Ahipara	-35.17	71.15	74	12	9.89
346	Ilulissat	69.22	-9.4	47	0	3.36
347	Hovd	63.83	36.54	93	75	31.09
348	Tabou	4.42	83.53	99	44	4.3
349	Port Hardy	50.7	48.2	87	90	25.28
350	Sinnamary	5.38	79.88	91	92	10.22
351	Timizart	36.8	35.2	100	92	3.18
352	Ko Samui	9.54	82.27	99	24	10.0
353	Tazovskiy	67.47	-33.25	60	20	4.18
354	Valparaiso	41.47	30.15	60	75	8.05
355	Wangkui	46.83	-0.76	67	0	3.74
356	Goderich	43.74	22.15	84	32	0.72
357	Shizilu	21.7	58.15	100	92	7.99
358	Port Keats	-14.25	82.49	100	64	8.43
359	Noshiro	40.21	38.03	100	68	15.14
360	Hami	42.84	-2.83	46	0	2.73
361	Hastings	-39.64	64.58	100	88	11.01
362	Puerto Escondido	15.86	81.14	100	0	7.99
363	Oriental	19.38	69.35	30	0	5.53
364	Edgewater	28.99	67.73	55	75	9.17
365	Rio Grande	-32.03	73.4	73	40	9.17
366	Portland	45.52	48.49	56	90	16.11
367	Los Llanos De Aridane	28.66	64.4	68	90	5.82
368	Benghazi	32.12	64.45	100	0	11.9
369	Grand Falls	47.05	6.06	71	40	13.87
370	San Patricio	-26.98	81.68	77	88	5.64
371	Almeirim	39.21	44.58	52	0	8.05
372	Raudeberg	61.99	33.76	100	92	6.93
373	Yenangyaung	20.46	58.28	92	0	4.63
374	Ramanuj Ganj	23.81	48.11	86	0	2.84
375	Fairbanks	64.84	-32.31	70	75	3.51
376	Beremend	45.78	26.6	86	0	5.82
377	Yarada	17.65	66.2	88	20	5.82
378	Dhidhdhoo	6.88	81.82	100	0	7.2
379	Talnakh	69.49	-38.29	78	8	3.62
380	Eureka	40.8	60.53	100	90	17.22
381	Verkhnyaya Inta	65.99	-3.46	75	76	5.41
382	Gorom-Gorom	14.45	68.05	25	0	8.66
383	Aklavik	68.22	-23.06	74	75	4.7
384	College	64.86	-32.26	70	75	3.51
385	Bereda	43.27	42.8	81	0	1.12
386	Kruisfontein	-34.0	65.48	89	76	25.55
387	Tocopilla	-22.09	67.73	79	8	6.76
388	Gamboula	4.12	71.51	69	8	2.39
389	Digapahandi	19.37	55.58	83	0	2.28
390	Vestmannaeyjar	63.44	41.9	98	88	23.42
391	Dunedin	-45.87	53.51	80	0	2.84
392	Ribas Do Rio Pardo	-20.45	86.81	56	48	4.3
393	Abadan	30.36	44.28	65	0	6.93
394	Fereydun Kenar	36.69	34.12	89	0	3.18
395	Kologriv	58.83	14.99	80	76	11.79
396	Sulangan	11.14	79.7	99	8	14.03
397	Teya	21.05	81.05	44	0	4.18
398	Renqiu	38.71	15.53	70	0	4.52
399	Ruteng	-8.61	71.24	96	24	3.06
400	Lingao	19.91	68.63	99	68	5.86
401	Aldan	58.61	4.73	74	68	3.4
402	Sawakin	19.1	73.27	95	76	6.53
403	Toora-Khem	52.47	-20.38	51	12	2.28
404	Sabancuy	18.97	74.57	100	0	8.66
405	Bose	45.46	23.38	51	0	2.24
406	Helong	25.94	44.78	99	76	2.73
407	Sambava	-14.27	78.98	100	32	3.06
408	Las Vegas	36.17	57.63	39	1	8.05
409	Hamilton	32.3	60.8	63	75	9.17
410	Vardo	39.62	34.48	47	1	11.41
411	Port Blair	11.67	79.16	100	48	8.32
412	Emporia	38.4	37.04	100	90	8.05
413	Tabas	33.6	35.6	51	0	4.7
414	Atikokan	48.76	19.67	78	80	5.75
415	Miyako	33.63	44.65	81	75	2.24
416	Mantua	45.16	33.06	81	20	2.24
417	Sakaiminato	35.55	37.4	100	75	5.82
418	Dalby	-27.18	71.6	73	40	10.29
419	Caconda	-13.73	75.29	42	68	9.44
420	Hervey Bay	-25.3	75.2	69	8	9.17
421	Huai Yot	7.79	76.78	81	36	4.3
422	Houma	35.63	9.37	77	0	2.73
423	Bakchar	57.02	-4.67	81	76	4.52
424	Nemuro	43.32	27.41	100	44	23.53
425	Ormara	25.21	69.08	88	0	7.87
426	Chara	39.42	40.12	80	90	2.84
427	Lompoc	34.64	60.76	62	90	14.99
428	Samarai	-10.62	77.95	100	48	1.05
429	Hay River	60.82	5.0	84	90	5.82
430	Santa Flavia	-51.55	50.0	53	40	28.86
431	Sistranda	63.73	37.4	99	75	25.28
432	Komsomolskiy	67.55	0.59	72	56	15.26
433	Wegorzewo	54.22	33.67	95	92	15.7
434	Llata	-9.55	45.1	100	92	2.39
435	Carballo	43.21	40.95	81	0	1.12
436	Jinxi	27.92	41.0	99	88	2.95
437	Mehamn	71.03	35.11	80	75	13.87
438	Ambilobe	-13.19	70.93	94	8	3.4
439	Lavrentiya	65.58	-11.92	97	24	25.1
440	Oga	8.18	71.42	60	0	1.72
441	Santiago Del Estero	-27.8	77.27	72	56	8.21
442	Pangody	65.85	-17.27	76	64	12.12
443	Jalu	29.03	51.44	33	0	10.67
444	Honiara	-9.43	76.42	100	56	2.84
445	San Antonio	-33.58	64.4	72	20	9.17
446	Zadar	44.12	24.8	68	0	4.7
447	Puerto Madryn	-42.77	80.83	39	0	14.92
448	Goundam	16.42	66.92	42	20	10.0
449	Rio Gallegos	-51.62	59.0	26	75	24.16
450	Merauke	-8.49	76.37	100	68	4.97
451	Auki	12.18	70.3	29	0	9.22
452	Zambezi	-13.55	73.18	76	44	7.99
453	Vredendal	-31.68	62.92	96	92	10.22
454	San Andres	13.32	77.27	100	68	21.86
455	Linqiong	30.42	42.8	87	40	2.06
456	Phonhong	18.5	68.63	100	36	3.62
457	Norrtalje	59.76	33.22	67	0	13.87
458	Moron	10.49	79.79	55	44	3.96
459	El Triunfo	13.12	91.4	41	40	4.7
460	Marzuq	14.4	43.88	65	0	2.39
461	Nelson Bay	-32.72	73.4	88	40	3.36
462	Trairi	-3.28	79.93	100	32	8.55
463	Tateyama	36.66	33.8	69	20	1.12
464	Barao De Melgaco	-16.19	78.8	83	40	6.93
465	Whitehorse	60.72	-13.0	75	75	2.62
466	Truth Or Consequences	33.13	57.02	27	20	20.8
467	Imamoglu	37.26	44.6	65	0	10.29
468	Fare	-16.7	81.86	100	92	17.49
469	Lunavada	23.13	53.65	71	0	7.54
470	Tura	25.52	49.28	77	0	3.96
471	Strezhevoy	60.73	-34.6	65	0	2.95
472	Aykhal	65.95	-21.95	60	32	6.87
473	Kaka	37.35	20.98	95	0	2.39
474	Nyurba	63.29	-15.34	68	32	4.74
475	Longyearbyen	78.22	8.6	60	20	20.8
476	Portel	38.31	42.8	56	0	4.7
477	Camenca	47.82	7.47	75	0	5.3
478	Qeshm	26.96	62.6	67	0	6.93
479	Florianopolis	-27.6	80.6	69	40	11.41
480	Saint-Gaudens	43.11	35.6	80	90	5.82
481	Naryan-Mar	67.67	11.39	82	80	20.51
482	Terney	45.05	22.37	100	0	11.12
483	Adrar	27.87	51.8	40	0	10.29
484	Umm Kaddadah	13.6	58.82	42	0	8.66
485	Takoradi	4.89	82.85	100	12	6.42
486	Pathein	16.78	69.26	88	24	5.19
487	Pak Phanang	8.35	80.38	97	56	10.22
488	Nision	40.64	39.2	60	40	18.34
489	Axim	4.87	84.11	97	8	8.21
490	Mansa	23.43	57.2	54	0	4.7
491	Aksarka	66.56	-20.29	59	48	12.8
492	Northam	51.04	47.46	87	75	1.12
493	Alofi	-19.06	82.4	74	75	20.8
494	Galeana	24.83	61.07	64	0	8.43
495	Luwuk	-0.95	77.54	100	32	3.74
496	Tiznit	29.7	49.82	97	0	1.16
497	Hasaki	35.73	30.76	69	75	9.17
498	Araouane	18.9	60.85	30	92	8.77
499	Tolaga Bay	-38.37	69.67	77	36	11.45
